Municipio,UF,Seguidores,Seguindo
Ijui,RS,9272,66
Acaiaca,MG,404,156
Águas Frias,SC,1038,842
Agudo,RS,3708,216
Ajuricaba,RS,1992,278
Álvares Machado,SP,2995,5
Alvinópolis,MG,4229,639
Anahy,PR,619,550
Ananindeua,PA,93421,405
Anhumas,SP,1205,308
Antonio Prado,RS,2036,23
Arcos,MG,15478,3524
Areal,RJ,5134,5
Bastos,SP,4692,2
Cachoeira do Sul,RS,8553,53
Caeté,MG,12852,42
Caibi,SC,2273,54
Camaquã,RS,1429,54
Campina das Missões,RS,1739,1585
Campo Limpo Paulista,SP,13307,29
Catanduvas,PR,535,606
Catas Altas,MG,4377,23
Céu Azul,PR,1903,34
Chopinzinho,PR,4165,256
Chuí,RS,826,299
Conchal,SP,169,0
Coronel Barros,RS,528,0
